company_slug,name,role,background,origin,prior
matters-ai,Keshava Murthy,Co-Founder & CEO,"BE in Computer Science from Visvesvaraya Technological University. Founding engineer at Observe.AI (helped scale from seed to unicorn, building systems handling sensitive data at global scale). Leadership roles at major tech companies in data integration, knowledge graphs, and intelligent automation.",Indian,
matters-ai,Harsh Sahu,Co-Founder & CTO,Founding engineer at Observe.AI (unicorn AI platform for enterprise contact centers). Built and secured enterprise-scale AI systems handling sensitive data. Co-founded Matters.AI in 2022 in Bengaluru.,Indian,
matx,Reiner Pope,Co-Founder & CEO,Led AI software development for Google TPUs; Efficiency Lead for Google PaLM; 10+ years in high-performance software and hardware,American,
matx,Mike Gunter,Co-Founder & CTO,28 years in hardware architecture; Chief Architect for Google ML chips; Architect for Google TPUs,American,
maven,Jonathan Corbin,Co-Founder & CEO,Former HubSpot executive. Deep experience in enterprise SaaS and customer experience platforms.,American,
maven,Sami Shalabi,Co-Founder & CTO,Former Google engineer. Technical expertise in AI systems and enterprise infrastructure.,Arab-American,
maven,Eugene Mann,Co-Founder & CPO,Former Stripe executive. Product leadership experience across enterprise platforms.,American,
maxim,Vaibhavi Gangwar,Co-Founder & CEO,Former Google and Milaap. MBA in Entrepreneurship and Business Analytics from The Wharton School (2018-2020).,Indian,
maxim,Akshay Deo,Co-Founder & CTO,"Former Postman, Slack, and Media.Net engineer. Previously founded AppSurfer and BetaCraft. Deep expertise in developer tools and API platforms.",Indian,
maxiq,Sonny Aulakh,Founder & CEO,"20+ years in tech. BS in Engineering from Cal State Sacramento. VP Products/Solutions/Vertical Marketing at Pure Storage. Global VP Sales Engineering at Dell EMC. VP Sales Engineering at EMC (XtremIO, $1B in first 18 months). Held roles at Reputation.com, Zscaler, Cisco, and Rainfinity.",Indian-American,
maxiq,Sunny Rai,Co-Founder & Head of Operations,Co-founded MaxIQ in 2022. Leads operations for the AI-powered customer journey management platform.,Indian,
megvii,Yin Qi,CEO,Tsinghua University. Co-founded Megvii at age 25.,,
megvii,Tang Wenbin,CTO,Tsinghua University. Led development of Face++ platform.,,
megvii,Yang Mu,CTO (now departed),Tsinghua University. Early Face++ development.,,
mem0,Taranjeet Singh,Co-Founder & CEO,"First growth engineer at Khatabook (YC S18), quickly became Senior PM. Started career at Paytm (India's PayPal). Built AI-powered tutoring app featured at Google I/O. Co-created EvalAI (open-source Kaggle alternative, 1.6K GitHub stars). Created first GPT app store (1M+ users).",Indian,
mem0,Deshraj Yadav,Co-Founder & CTO,"Led AI Platform at Tesla Autopilot (large-scale training, model evaluation, monitoring for full self-driving). MS from Georgia Tech where he created EvalAI as thesis. Published at CVPR, ECCV, AAAI. Broadly interested in AI/ML infrastructure.",Indian,
mercor,Brendan Foody,CEO,"Georgetown University (dropped out, sophomore year)",American,
mercor,Adarsh Hiremath,CTO,"Harvard University (dropped out, sophomore year)",Indian-American,
mercor,Surya Midha,Board Chairman (formerly COO),"Georgetown University (dropped out, sophomore year)",Indian-American,
merge-labs,Sam Altman,Co-founder,CEO of OpenAI,American (Jewish heritage),
merge-labs,Alex Blania,Co-founder,Tools for Humanity,German,
merge-labs,Mikhail Shapiro,Co-founder,Caltech researcher,Russian-American,
metax-gpu,Chen Weiliang,Chairman,,Chinese,
metax-gpu,Peng Li,Co-CTO,AMD veteran,Chinese,
midjourney,David Holz,Founder & CEO,Co-founded Leap Motion; studied applied math at UNC Chapel Hill (left PhD); contracted for NASA Langley; neuroscience research at Max Planck Institute,American,
milestone-ai,Liad Elidan,Co-Founder & CEO,Met co-founder at Trinity College Dublin; focus on measuring software development efficiency,Israeli,
milestone-ai,Stephen Barrett,Co-Founder & CTO,Professor at Trinity College Dublin; research in software development efficiency,Irish,
mind-robotics,RJ Scaringe,Founder & Chairman (also CEO of Rivian),"Founded Rivian in 2009. PhD in Engineering from MIT Sloan Automotive Lab. Built Rivian into a publicly traded EV company (IPO 2021, one of the largest in US history). Deep experience in vertically integrated hardware manufacturing, supply chains, and factory operations. Serves as chairman of Mind Robotics while remaining CEO of Rivian.",American,
mindoo,Gauthier Willemse,CEO,"MD from KU Leuven, surgeon, MPH Harvard",Belgian,
mindoo,Bart Lens,CTO,"Ex-senior engineer at DataCamp, founding engineer at Conveo",Belgian,
mindsdb,Jorge Torres,Co-Founder & CEO,MS in Information Systems from Australian National University (ML focus). Cambridge graduate. Ex-management consultant at Deloitte. Second dev at CouchSurfing (scaled to 4M users). Senior Engineer at Skillshare. CTO at Real Life Analytics. Visiting scholar at UC Berkeley (ML automation). Worked with Aneesh Chopra (first US government CTO).,Latin American,
mindsdb,Adam Carrigan,Co-Founder & COO,Australian National University and University of Queensland graduate. Management Consultant at Deloitte. Dissertation at University of Cambridge on NLP for equity pricing prediction. Co-released initial MindsDB code in 2018 inspired by Iain M. Banks' Culture series.,Australian,
minimal-ai,Niek Hogenboom,Co-Founder,YC S25 batch.,Dutch (inferred from name),
minimal-ai,Titus Ex,Co-Founder,YC S25 batch.,Dutch (inferred from name),
minimax,Yan Junjie (闫俊杰),CEO & Chairman,Former VP & Deputy Head of Research at SenseTime; PhD from Chinese Academy of Sciences; postdoc at Tsinghua University,Chinese,
minimax,Zhou Yucong,"Executive Director, Visual Model Research & Engineering Lead","Former SenseTime (2018-2019); former Huawei (2019-2022), focused on algorithms",Chinese,
minimax,Yang Bin,Co-founder (listed as former co-founder in some sources),Veteran of China's AI scene,Chinese,
minimax,Yun Yeyi,COO,Former SenseTime employee,Chinese,
mintlify,Han Wang,Co-Founder & CEO,Software engineer by trade; previously worked on developer tools and infrastructure,American,
mintlify,Hahnbee Lee,Co-Founder,Software engineer by trade; experience in developer tools and product development,Korean-American,
mirador-therapeutics,Mark McKenna,CEO,Former Prometheus Biosciences executive.,,
mirelo-ai,CJ Simon-Gabriel,Co-Founder & CEO,"PhD in machine learning and causal inference from Max Planck Institute (under Bernhard Scholkopf). Postdoc at ETH Zurich. Former AWS Labs senior AI researcher. Degree in piano, organ and composition from Conservatoire in Strasbourg.",French,
mirelo-ai,Florian Wenzel,Co-Founder & CTO,PhD in deep learning from Humboldt University. Former Google Brain researcher. Former AWS Labs. Musician who plays electric guitar in a Berlin electro band.,German,
mistral-ai,Arthur Mensch,CEO,"Ecole Polytechnique (2011); Telecom Paris; MSc Mathematics, Vision, Learning - Universite Paris-Saclay; PhD Machine Learning - Universite Paris-Saclay DeepMind (Google) - ~3 years",French,
mistral-ai,Guillaume Lample,Chief Scientist,Ecole Polytechnique; Carnegie Mellon University Meta AI (FAIR) - 2014-2023; co-creator of LLaMA,French,
mistral-ai,Timothee Lacroix,CTO,Ecole Normale Superieure Meta AI (FAIR) - 2014-2023,French,
moda,Unknown,Co-Founder & CEO,Product analytics and AI background.,,
modal,Erik Bernhardsson,CEO,"Ex-Spotify (~employee #30), built music recommendations (Discover Weekly, Related Artists, Radio); created open-source tools Luigi and Annoy; M.Sc. Physics, KTH Stockholm; ran tech team at Better.com (1 to ~300 engineers)",Swedish,
modal,Akshat Bubna,CTO,Early employee at Scale AI; MIT B.S. Math & CS (2014-2017); IOI Gold Medalist 2014 (first Indian student to achieve this); competitive crossword solver,Indian-American,
model-ml,Chaz Englander,Co-Founder & CEO,Co-founded Fat Llama (acquired by Hygglo 2022) and Fancy (acquired by GoPuff 2021),British,
model-ml,Arnie Englander,Co-Founder,Co-founded Fat Llama and Fancy with brother Chaz,British,
modelbest,Li Dahai (李大海),Co-founder & CEO,Tsinghua University (affiliated) Led the company's commercial strategy and partnerships with automotive/device OEMs,Chinese,
modelbest,Liu Zhiyuan (刘知远),Co-founder & Chief Scientist,"Tsinghua University, tenured Associate Professor, Department of Computer Science One of China's most prominent NLP researchers. Led the OpenBMB (Open Lab for Big Model Base) open-source initiative at Tsinghua. The academic backbone behind the CPM (Chinese Pre-trained Models) series that predates the ChatGPT era.",Chinese,
modular-ai,Chris Lattner,CEO,"Created LLVM, Swift at Apple. Former VP Engineering at Google Brain, SiFive.",American,
modular-ai,Tim Davis,President,,American,
moego,Ethan Dong (Yi Dong),CEO,Came to the US in 2013. Founded MoeGo.,,
moffett-ai,Lu Shan,CEO,Former engineer at Xilinx/AMD.,,
moka-hr,Zhao Oulun (Orion),CEO,UC Berkeley graduate. Former engineer at Turo (SF).,,
moka-hr,Li Guoxing,Co-founder,University of Michigan and Stanford graduate. Former Facebook engineer.,,
momenta,Xudong Cao,Co-Founder & CEO,Former scientist at Microsoft Research; former executive director of R&D at SenseTime; 10+ years in intelligent driving,Chinese,
momenta,Shaoqing Ren,Co-Founder,Alumni of Microsoft Research Asia,Chinese,
monaco,Sam Blond,Co-Founder,Former VC at Founders Fund. Previously Head of Sales at Brex. Deep sales leadership experience.,American,
monaco,Brian Blond,Co-Founder,Ex-sales professional turned VC. Sam's brother.,American,
monaco,Abishek Viswanathan,Co-Founder,Previously CPO at Apollo and Qualtrics. Product leader in enterprise software.,Indian-American,
monaco,Malay Desai,Co-Founder,Formerly SVP of Engineering at Clari. Deep engineering experience in revenue intelligence.,Indian-American,
monarch-tractor,Praveen Penmetsa,Co-founder & CEO,Autonomy and mobility engineer. Has led Monarch from founding through to commercial production and global deployment of autonomous electric tractors.,Indian-American,
monarch-tractor,Mark Schwager,Co-founder & President,Former Tesla Gigafactory chief. Brings manufacturing scale-up expertise from Tesla's battery and vehicle production operations.,American,
monarch-tractor,Zachary Omohundro,Co-founder & CTO,Robotics PhD from Carnegie Mellon University. Leads Monarch's autonomous driving and AI technology development.,American,
monarch-tractor,Carlo Mondavi,Co-founder & Chief Farming Officer,Member of the Napa Valley Mondavi winery family. Sustainability- focused vintner who provides real-world agricultural expertise and was an early testing partner for autonomous tractors in vineyards.,Italian-American,
monte-carlo-data,Barr Moses,Co-Founder & CEO,Stanford University (MBA); Israeli Defense Forces intelligence unit,Israeli,First Round Capital (mentor); Gainsight (VP of Customer Operations)
monte-carlo-data,Lior Gavish,Co-Founder & CTO,Technion (inferred from Israeli tech ecosystem),Israeli,Yahoo (Engineering)
monte-carlo-data,Itay Bleier,Co-Founder,,Israeli,
monte-carlo-data,Jordan Van Horn,Co-Founder,,American,
moonlake-ai,Fan-Yun Sun,Co-Founder,PhD in Computer Science from Stanford. Researcher at NVIDIA on Learning & Perception Research Team and Metropolis Deep Learning (Omniverse). Worked on large-scale 3D world generation for AI training and foundation models.,Taiwanese,
moonlake-ai,Sharon Lee,Co-Founder,"CS PhD focused on generative AI and computer graphics, blending diffusion models with 3D engines. Built models that reason about space and interactivity. Co-founded Moonlake AI at Stanford AI Lab.",American,
moonshot-ai,Yang Zhilin,CEO,"BS CS Tsinghua, PhD CS Carnegie Mellon. Co-first author of Transformer-XL and XLNet. Research at Google Brain and Meta AI.",Chinese,
moonshot-ai,Zhou Xinyu,Co-founder,"Tsinghua University. Former engineering at Hulu, Tencent, and Megvii.",Chinese,
moonshot-ai,Wu Yuxin,Co-founder,"BS CS Tsinghua, MS CMU. Former Google Brain and Facebook AI Research.",Chinese,
moonvalley,Naeem Talukdar,Founder & CEO,Based in Toronto,South Asian-Canadian,
moonvalley,John Thomas,Co-Founder & COO,Based in Toronto,Canadian,
moonvalley,Mateusz Malinowski,Co-Founder & Chief Scientific Officer,AI research background,Polish,
moonvalley,Mikolaj Binkowski,Co-Founder & VP of Research,AI research background,Polish,
moore-threads,Zhang Jianzhong,Founder & CEO,Former global VP and GM of Nvidia's Chinese branch; 14 years at Nvidia,Chinese,
mosaic,Naveen Rao,Co-Founder & CEO,Serial AI entrepreneur. Previously founded Nervana Systems (acquired by Intel for $350M in 2016). GM of Intel's AI Products Group. Deep expertise in AI hardware and training infrastructure.,Indian-American,
mosaic,Hanlin Tang,Co-Founder & President,AI researcher with expertise in efficient neural network training. PhD in computational neuroscience.,Chinese-American,
mosaic,Jonathan Frankle,Founding Adviser & Chief Scientist,Harvard professor and Kempner Institute researcher. Known for the Lottery Ticket Hypothesis. Leading researcher on neural network pruning and efficient training.,American,
motif-systems,Amar Hanspal,Co-Founder & CEO,Former Co-CEO and CPO of Autodesk; founder and CEO of Bright Machines,Indian,
motif-systems,Brian Matthews,Co-Founder & CTO,Former VP of Platform Engineering at Autodesk; founder and CTO of Bright Machines,American,
motion-app,Harry Qi,CEO,Dartmouth Math+CS.,,
motion-app,Ethan Yu,Co-founder,Dartmouth CS.,,
moveworks,Bhavin Shah,Co-Founder & CEO,"25+ years entrepreneurial experience; former CEO of Refresh.io (acquired by LinkedIn 2015); MA Stanford, BS UCSD",Indian-American,
moveworks,Vaibhav Nivargi,Co-Founder & CTO,,Indian,
moveworks,Varun Singh,Co-Founder & President,,Indian,
moveworks,Jiang Chen,Co-Founder & CTO of AI,,Chinese,
mozart-ai,Sundar Arvind,Co-Founder & CEO,Former tennis prodigy turned music producer; signed to Spinnin' Records (Warner Bros.) by age 14; 2M+ streams on Spotify,Indian,
mozart-ai,Pascual Merita Torres,Co-Founder & CTO,AI master's degree from University of Edinburgh; 10+ years music production experience,Spanish,
mozart-ai,Arjun Khanna,Co-Founder & COO,Former professional debater; represented India at UN debates,Indian,
mozart-ai,Immanuel Rajadurai,Co-Founder,AI researcher and professional bassist,Indian,
multifactor,Vivek Nair,Co-Founder & CEO,PhD computer scientist; former CIA officer in elite cyber units of DOD and CIA; received Exceptional Performance Award,Indian-American,
multifactor,Colin Roberts,Co-Founder & CTO,PhD mathematician; former NASA scientist,American,
multiverse-computing,Enrique Lizaso Olmos,CEO,Quantum computing entrepreneur,Spanish,
